service_id,date,exception_type
13027593,20191124,1
13027593,20191201,1
13027590,20191125,1
13027590,20191202,1
13027591,20191126,1
13027591,20191127,1
13027591,20191128,1
13027591,20191129,1
13027591,20191203,1
13027591,20191204,1
13027591,20191205,1
13027591,20191206,1
3107734,20200119,1
3107735,20200101,1
3107736,20200105,1
3107736,20200112,1
3107736,20200126,1
3107737,20200102,1
13048386,20191209,1
13048386,20191216,1
3107738,20200104,1
3107738,20200111,1
3107738,20200118,1
3107738,20200125,1
3107739,20200110,1
3107739,20200117,1
3107739,20200124,1
3107739,20200131,1
13048384,20191221,1
13048385,20191225,1
13048385,20191228,1
13048385,20200101,1
13048383,20191214,1
13048382,20191222,1
13048382,20191229,1
13048381,20191208,1
13048381,20191215,1
3107740,20200103,1
13048380,20191224,1
13048380,20191227,1
13048380,20191231,1
3048376,20191222,1
3048376,20191225,1
3048376,20191229,1
13107739,20200111,1
13107739,20200118,1
13107739,20200125,1
13107739,20200201,1
3107741,20200106,1
3107741,20200107,1
3107741,20200108,1
3107741,20200109,1
3107741,20200113,1
3107741,20200114,1
3107741,20200115,1
3107741,20200116,1
3107741,20200120,1
3107741,20200121,1
3107741,20200122,1
3107741,20200123,1
3107741,20200127,1
3107741,20200128,1
3107741,20200129,1
3107741,20200130,1
13107737,20200103,1
13107738,20200105,1
13107738,20200112,1
13107738,20200119,1
13107738,20200126,1
13107735,20200102,1
13107736,20200106,1
13107736,20200113,1
13107736,20200127,1
13107734,20200120,1
13027595,20191123,1
13027595,20191130,1
13027595,20191207,1
3027590,20191124,1
3027590,20191201,1
3027591,20191125,1
3027591,20191126,1
3027591,20191127,1
3027591,20191128,1
3027591,20191202,1
3027591,20191203,1
3027591,20191204,1
3027591,20191205,1
13048378,20191210,1
13048378,20191211,1
13048378,20191212,1
13048378,20191213,1
13048379,20191217,1
13048379,20191218,1
13048379,20191219,1
13048379,20191220,1
3027593,20191123,1
3027593,20191130,1
3027595,20191122,1
3027595,20191129,1
3027595,20191206,1
3048378,20191209,1
3048378,20191210,1
3048378,20191211,1
3048378,20191212,1
3048379,20191216,1
3048379,20191217,1
3048379,20191218,1
3048379,20191219,1
13048376,20191223,1
13048376,20191226,1
13048376,20191230,1
3048386,20191208,1
3048386,20191215,1
3048385,20191224,1
3048385,20191227,1
3048385,20191231,1
3048384,20191220,1
3048383,20191213,1
3048382,20191221,1
3048382,20191228,1
3048381,20191207,1
3048381,20191214,1
3048380,20191223,1
3048380,20191226,1
3048380,20191230,1
13107740,20200104,1
13107741,20200107,1
13107741,20200108,1
13107741,20200109,1
13107741,20200110,1
13107741,20200114,1
13107741,20200115,1
13107741,20200116,1
13107741,20200117,1
13107741,20200121,1
13107741,20200122,1
13107741,20200123,1
13107741,20200124,1
13107741,20200128,1
13107741,20200129,1
13107741,20200130,1
13107741,20200131,1
