service_id,date,exception_type
2841339,20191102,1
2841339,20191109,1
2841339,20191116,1
2841339,20191123,1
2841339,20191130,1
2841339,20191207,1
2841339,20191214,1
2841339,20191221,1
2841339,20191228,1
2841338,20191029,1
2841338,20191030,1
2841338,20191031,1
2841338,20191104,1
2841338,20191105,1
2841338,20191106,1
2841338,20191107,1
2841338,20191108,1
2841338,20191112,1
2841338,20191113,1
2841338,20191114,1
2841338,20191115,1
2841338,20191118,1
2841338,20191119,1
2841338,20191120,1
2841338,20191121,1
2841338,20191122,1
2841338,20191125,1
2841338,20191126,1
2841338,20191127,1
2841338,20191128,1
2841338,20191129,1
2841338,20191202,1
2841338,20191203,1
2841338,20191204,1
2841338,20191205,1
2841338,20191206,1
2841338,20191209,1
2841338,20191210,1
2841338,20191211,1
2841338,20191212,1
2841338,20191213,1
2841338,20191216,1
2841338,20191217,1
2841338,20191218,1
2841338,20191219,1
2841338,20191220,1
2841338,20191223,1
2841338,20191224,1
2841338,20191226,1
2841338,20191227,1
2841338,20191230,1
2841338,20191231,1
2841337,20191102,1
2841337,20191109,1
2841337,20191116,1
2841337,20191123,1
2841337,20191130,1
2841337,20191207,1
2841337,20191214,1
2841337,20191221,1
2841337,20191228,1
2841336,20191029,1
2841336,20191030,1
2841336,20191031,1
2841336,20191104,1
2841336,20191105,1
2841336,20191106,1
2841336,20191107,1
2841336,20191108,1
2841336,20191112,1
2841336,20191113,1
2841336,20191114,1
2841336,20191115,1
2841336,20191118,1
2841336,20191119,1
2841336,20191120,1
2841336,20191121,1
2841336,20191122,1
2841336,20191125,1
2841336,20191126,1
2841336,20191127,1
2841336,20191128,1
2841336,20191129,1
2841336,20191202,1
2841336,20191203,1
2841336,20191204,1
2841336,20191205,1
2841336,20191206,1
2841336,20191209,1
2841336,20191210,1
2841336,20191211,1
2841336,20191212,1
2841336,20191213,1
2841336,20191216,1
2841336,20191217,1
2841336,20191218,1
2841336,20191219,1
2841336,20191220,1
2841336,20191223,1
2841336,20191224,1
2841336,20191226,1
2841336,20191227,1
2841336,20191230,1
2841336,20191231,1
