service_id,date,exception_type
2987460,20191102,1
2987460,20191109,1
2987460,20191116,1
2987460,20191123,1
2987460,20191130,1
2987460,20191207,1
2987460,20191214,1
2987460,20191221,1
2987460,20191228,1
2987459,20191029,1
2987459,20191030,1
2987459,20191031,1
2987459,20191223,1
2987459,20191224,1
2987459,20191226,1
2987459,20191227,1
2987459,20191230,1
2987459,20191231,1
2987458,20191104,1
2987458,20191105,1
2987458,20191106,1
2987458,20191107,1
2987458,20191108,1
2987458,20191112,1
2987458,20191113,1
2987458,20191114,1
2987458,20191115,1
2987458,20191118,1
2987458,20191119,1
2987458,20191120,1
2987458,20191121,1
2987458,20191122,1
2987458,20191125,1
2987458,20191126,1
2987458,20191127,1
2987458,20191128,1
2987458,20191129,1
2987458,20191202,1
2987458,20191203,1
2987458,20191204,1
2987458,20191205,1
2987458,20191206,1
2987458,20191209,1
2987458,20191210,1
2987458,20191211,1
2987458,20191212,1
2987458,20191213,1
2987458,20191216,1
2987458,20191217,1
2987458,20191218,1
2987458,20191219,1
2987458,20191220,1
