trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,shape_dist_traveled
1029462891678296,09:20:00,09:20:00,6741216,1,,
1029462891678296,09:22:00,09:22:00,6741218,2,,
1029462891678296,09:23:00,09:23:00,6741220,3,,
1029462891678296,09:24:00,09:24:00,6741222,4,,
1029462891678296,09:25:00,09:25:00,6741223,5,,
1029462891678296,09:27:00,09:27:00,6741225,6,,
1029462891678296,09:30:00,09:30:00,6741227,7,,
1029462891678296,09:32:00,09:32:00,6741229,8,,
1029462891678296,09:33:00,09:33:00,6741231,9,,
1029462891678296,09:34:00,09:34:00,6741233,10,,
1029462891678296,09:35:00,09:35:00,6741235,11,,
1029462891678296,09:38:00,09:38:00,7161674,12,,
1029462891678296,09:39:00,09:39:00,6741238,13,,
1029462891678296,09:40:00,09:40:00,6741239,14,,
1029462891678296,09:41:00,09:41:00,6741241,15,,
1029462891678296,09:44:00,09:44:00,6741243,16,,
1029462891678296,09:49:00,09:49:00,6741245,17,,
1029462891678296,09:50:00,09:50:00,6741247,18,,
1029462891678296,09:52:00,09:52:00,6741249,19,,
1029462891678296,09:55:00,09:55:00,6741251,20,,
1029462891678296,09:56:00,09:56:00,6741252,21,,
1029462901678296,09:20:00,09:20:00,6741216,1,,
1029462901678296,09:22:00,09:22:00,6741218,2,,
1029462901678296,09:23:00,09:23:00,6741220,3,,
1029462901678296,09:24:00,09:24:00,6741222,4,,
1029462901678296,09:25:00,09:25:00,6741223,5,,
1029462901678296,09:27:00,09:27:00,6741225,6,,
1029462901678296,09:30:00,09:30:00,6741227,7,,
1029462901678296,09:32:00,09:32:00,6741229,8,,
1029462901678296,09:33:00,09:33:00,6741231,9,,
1029462901678296,09:34:00,09:34:00,6741233,10,,
1029462901678296,09:35:00,09:35:00,6741235,11,,
1029462901678296,09:38:00,09:38:00,7161674,12,,
1029462901678296,09:39:00,09:39:00,6741238,13,,
1029462901678296,09:40:00,09:40:00,6741239,14,,
1029462901678296,09:41:00,09:41:00,6741241,15,,
1029462901678296,09:44:00,09:44:00,6741243,16,,
1029462901678296,09:49:00,09:49:00,6741245,17,,
1029462901678296,09:50:00,09:50:00,6741247,18,,
1029462901678296,09:52:00,09:52:00,6741249,19,,
1029462901678296,09:55:00,09:55:00,6741251,20,,
1029462901678296,09:56:00,09:56:00,6741252,21,,
1029462931678296,07:01:00,07:01:00,6741216,1,,
1029462931678296,07:03:00,07:03:00,6741218,2,,
1029462931678296,07:04:00,07:04:00,6741220,3,,
1029462931678296,07:06:00,07:06:00,6741222,4,,
1029462931678296,07:07:00,07:07:00,6741223,5,,
1029462931678296,07:09:00,07:09:00,6741225,6,,
1029462931678296,07:12:00,07:12:00,6741227,7,,
1029462931678296,07:14:00,07:14:00,6741229,8,,
1029462931678296,07:15:00,07:15:00,6741231,9,,
1029462931678296,07:16:00,07:16:00,6741233,10,,
1029462931678296,07:17:00,07:17:00,6741235,11,,
1029462931678296,07:19:00,07:19:00,7161674,12,,
1029462931678296,07:20:00,07:20:00,6741238,13,,
1029462931678296,07:21:00,07:21:00,6741239,14,,
1029462931678296,07:22:00,07:22:00,6741241,15,,
1029462931678296,07:24:00,07:24:00,6741243,16,,
1029462931678296,07:28:00,07:28:00,6741245,17,,
1029462931678296,07:29:00,07:29:00,6741247,18,,
1029462931678296,07:31:00,07:31:00,6741249,19,,
1029462931678296,07:34:00,07:34:00,6741251,20,,
1029462931678296,07:34:00,07:34:00,6741252,21,,
1029462941678296,07:03:00,07:03:00,6741216,1,,
1029462941678296,07:05:00,07:05:00,6741218,2,,
1029462941678296,07:06:00,07:06:00,6741220,3,,
1029462941678296,07:08:00,07:08:00,6741222,4,,
1029462941678296,07:09:00,07:09:00,6741223,5,,
1029462941678296,07:11:00,07:11:00,6741225,6,,
1029462941678296,07:14:00,07:14:00,6741227,7,,
1029462941678296,07:16:00,07:16:00,6741229,8,,
1029462941678296,07:17:00,07:17:00,6741231,9,,
1029462941678296,07:18:00,07:18:00,6741233,10,,
1029462941678296,07:19:00,07:19:00,6741235,11,,
1029462941678296,07:21:00,07:21:00,7161674,12,,
1029462941678296,07:22:00,07:22:00,6741238,13,,
1029462941678296,07:23:00,07:23:00,6741239,14,,
1029462941678296,07:24:00,07:24:00,6741241,15,,
1029462941678296,07:26:00,07:26:00,6741243,16,,
1029462941678296,07:30:00,07:30:00,6741245,17,,
1029462941678296,07:31:00,07:31:00,6741247,18,,
1029462941678296,07:33:00,07:33:00,6741249,19,,
1029462941678296,07:36:00,07:36:00,6741251,20,,
1029462941678296,07:36:00,07:36:00,6741252,21,,
1029462971678296,08:02:00,08:02:00,6741216,1,,
1029462971678296,08:04:00,08:04:00,6741218,2,,
1029462971678296,08:05:00,08:05:00,6741220,3,,
1029462971678296,08:06:00,08:06:00,6741222,4,,
1029462971678296,08:07:00,08:07:00,6741223,5,,
1029462971678296,08:09:00,08:09:00,6741225,6,,
1029462971678296,08:12:00,08:12:00,6741227,7,,
1029462971678296,08:13:00,08:13:00,6741229,8,,
1029462971678296,08:14:00,08:14:00,6741231,9,,
1029462971678296,08:15:00,08:15:00,6741233,10,,
1029462971678296,08:16:00,08:16:00,6741235,11,,
1029462971678296,08:20:00,08:20:00,7161674,12,,
1029462971678296,08:21:00,08:21:00,6741238,13,,
1029462971678296,08:23:00,08:23:00,6741239,14,,
1029462971678296,08:24:00,08:24:00,6741241,15,,
1029462971678296,08:27:00,08:27:00,6741243,16,,
1029462971678296,08:31:00,08:31:00,6741245,17,,
1029462971678296,08:32:00,08:32:00,6741247,18,,
1029462971678296,08:34:00,08:34:00,6741249,19,,
1029462971678296,08:36:00,08:36:00,6741251,20,,
1029462971678296,08:37:00,08:37:00,6741252,21,,
1029463001678296,07:01:00,07:01:00,6741216,1,,
1029463001678296,07:03:00,07:03:00,6741218,2,,
1029463001678296,07:04:00,07:04:00,6741220,3,,
1029463001678296,07:06:00,07:06:00,6741222,4,,
1029463001678296,07:07:00,07:07:00,6741223,5,,
1029463001678296,07:09:00,07:09:00,6741225,6,,
1029463001678296,07:12:00,07:12:00,6741227,7,,
1029463001678296,07:14:00,07:14:00,6741229,8,,
1029463001678296,07:15:00,07:15:00,6741231,9,,
1029463001678296,07:16:00,07:16:00,6741233,10,,
1029463001678296,07:17:00,07:17:00,6741235,11,,
1029463001678296,07:19:00,07:19:00,7161674,12,,
1029463001678296,07:20:00,07:20:00,6741238,13,,
1029463001678296,07:21:00,07:21:00,6741239,14,,
1029463001678296,07:22:00,07:22:00,6741241,15,,
1029463001678296,07:24:00,07:24:00,6741243,16,,
1029463001678296,07:28:00,07:28:00,6741245,17,,
1029463001678296,07:29:00,07:29:00,6741247,18,,
1029463001678296,07:31:00,07:31:00,6741249,19,,
1029463001678296,07:34:00,07:34:00,6741251,20,,
1029463001678296,07:34:00,07:34:00,6741252,21,,
1029463011678296,07:03:00,07:03:00,6741216,1,,
1029463011678296,07:05:00,07:05:00,6741218,2,,
1029463011678296,07:06:00,07:06:00,6741220,3,,
1029463011678296,07:08:00,07:08:00,6741222,4,,
1029463011678296,07:09:00,07:09:00,6741223,5,,
1029463011678296,07:11:00,07:11:00,6741225,6,,
1029463011678296,07:14:00,07:14:00,6741227,7,,
1029463011678296,07:16:00,07:16:00,6741229,8,,
1029463011678296,07:17:00,07:17:00,6741231,9,,
1029463011678296,07:18:00,07:18:00,6741233,10,,
1029463011678296,07:19:00,07:19:00,6741235,11,,
1029463011678296,07:21:00,07:21:00,7161674,12,,
1029463011678296,07:22:00,07:22:00,6741238,13,,
1029463011678296,07:23:00,07:23:00,6741239,14,,
1029463011678296,07:24:00,07:24:00,6741241,15,,
1029463011678296,07:26:00,07:26:00,6741243,16,,
1029463011678296,07:30:00,07:30:00,6741245,17,,
1029463011678296,07:31:00,07:31:00,6741247,18,,
1029463011678296,07:33:00,07:33:00,6741249,19,,
1029463011678296,07:36:00,07:36:00,6741251,20,,
1029463011678296,07:36:00,07:36:00,6741252,21,,
1029463021678296,07:03:00,07:03:00,6741216,1,,
1029463021678296,07:05:00,07:05:00,6741218,2,,
1029463021678296,07:06:00,07:06:00,6741220,3,,
1029463021678296,07:08:00,07:08:00,6741222,4,,
1029463021678296,07:09:00,07:09:00,6741223,5,,
1029463021678296,07:11:00,07:11:00,6741225,6,,
1029463021678296,07:14:00,07:14:00,6741227,7,,
1029463021678296,07:16:00,07:16:00,6741229,8,,
1029463021678296,07:17:00,07:17:00,6741231,9,,
1029463021678296,07:18:00,07:18:00,6741233,10,,
1029463021678296,07:19:00,07:19:00,6741235,11,,
1029463021678296,07:21:00,07:21:00,7161674,12,,
1029463021678296,07:22:00,07:22:00,6741238,13,,
1029463021678296,07:23:00,07:23:00,6741239,14,,
1029463021678296,07:24:00,07:24:00,6741241,15,,
1029463021678296,07:26:00,07:26:00,6741243,16,,
1029463021678296,07:30:00,07:30:00,6741245,17,,
1029463021678296,07:31:00,07:31:00,6741247,18,,
1029463021678296,07:33:00,07:33:00,6741249,19,,
1029463021678296,07:36:00,07:36:00,6741251,20,,
1029463021678296,07:36:00,07:36:00,6741252,21,,
1129462891678296,09:42:00,09:42:00,6741216,1,,
1129462891678296,09:44:00,09:44:00,6741218,2,,
1129462891678296,09:45:00,09:45:00,6741220,3,,
1129462891678296,09:46:00,09:46:00,6741222,4,,
1129462891678296,09:47:00,09:47:00,6741223,5,,
1129462891678296,09:49:00,09:49:00,6741225,6,,
1129462891678296,09:52:00,09:52:00,6741227,7,,
1129462891678296,09:54:00,09:54:00,6741229,8,,
1129462891678296,09:55:00,09:55:00,6741231,9,,
1129462891678296,09:56:00,09:56:00,6741233,10,,
1129462891678296,09:57:00,09:57:00,6741235,11,,
1129462891678296,10:00:00,10:00:00,7161674,12,,
1129462891678296,10:01:00,10:01:00,6741238,13,,
1129462891678296,10:02:00,10:02:00,6741239,14,,
1129462891678296,10:03:00,10:03:00,6741241,15,,
1129462891678296,10:06:00,10:06:00,6741243,16,,
1129462891678296,10:11:00,10:11:00,6741245,17,,
1129462891678296,10:12:00,10:12:00,6741247,18,,
1129462891678296,10:14:00,10:14:00,6741249,19,,
1129462891678296,10:17:00,10:17:00,6741251,20,,
1129462891678296,10:18:00,10:18:00,6741252,21,,
1129462901678296,09:42:00,09:42:00,6741216,1,,
1129462901678296,09:44:00,09:44:00,6741218,2,,
1129462901678296,09:45:00,09:45:00,6741220,3,,
1129462901678296,09:46:00,09:46:00,6741222,4,,
1129462901678296,09:47:00,09:47:00,6741223,5,,
1129462901678296,09:49:00,09:49:00,6741225,6,,
1129462901678296,09:52:00,09:52:00,6741227,7,,
1129462901678296,09:54:00,09:54:00,6741229,8,,
1129462901678296,09:55:00,09:55:00,6741231,9,,
1129462901678296,09:56:00,09:56:00,6741233,10,,
1129462901678296,09:57:00,09:57:00,6741235,11,,
1129462901678296,10:00:00,10:00:00,7161674,12,,
1129462901678296,10:01:00,10:01:00,6741238,13,,
1129462901678296,10:02:00,10:02:00,6741239,14,,
1129462901678296,10:03:00,10:03:00,6741241,15,,
1129462901678296,10:06:00,10:06:00,6741243,16,,
1129462901678296,10:11:00,10:11:00,6741245,17,,
1129462901678296,10:12:00,10:12:00,6741247,18,,
1129462901678296,10:14:00,10:14:00,6741249,19,,
1129462901678296,10:17:00,10:17:00,6741251,20,,
1129462901678296,10:18:00,10:18:00,6741252,21,,
