service_id,date,exception_type
2975516,20191123,1
2975516,20191130,1
2975516,20191207,1
2975516,20191214,1
2975516,20191221,1
2975514,20191223,1
2975514,20191224,1
2975514,20191226,1
2975514,20191227,1
2975514,20191230,1
2975514,20191231,1
12975518,20191229,1
2975506,20191124,1
2975506,20191201,1
2975506,20191208,1
2975506,20191215,1
2975506,20191222,1
2975506,20191229,1
2975508,20191225,1
2975518,20191228,1
12975510,20191123,1
12975510,20191126,1
12975510,20191127,1
12975510,20191128,1
12975510,20191129,1
12975510,20191130,1
12975510,20191203,1
12975510,20191204,1
12975510,20191205,1
12975510,20191206,1
12975510,20191207,1
12975510,20191210,1
12975510,20191211,1
12975510,20191212,1
12975510,20191213,1
12975510,20191214,1
12975510,20191217,1
12975510,20191218,1
12975510,20191219,1
12975510,20191220,1
12975510,20191221,1
12975516,20191124,1
12975516,20191201,1
12975516,20191208,1
12975516,20191215,1
12975516,20191222,1
12975508,20191226,1
2975510,20191122,1
2975510,20191125,1
2975510,20191126,1
2975510,20191127,1
2975510,20191128,1
2975510,20191129,1
2975510,20191202,1
2975510,20191203,1
2975510,20191204,1
2975510,20191205,1
2975510,20191206,1
2975510,20191209,1
2975510,20191210,1
2975510,20191211,1
2975510,20191212,1
2975510,20191213,1
2975510,20191216,1
2975510,20191217,1
2975510,20191218,1
2975510,20191219,1
2975510,20191220,1
12975514,20191224,1
12975514,20191225,1
12975514,20191227,1
12975514,20191228,1
12975514,20191231,1
12975514,20200101,1
12975506,20191125,1
12975506,20191202,1
12975506,20191209,1
12975506,20191216,1
12975506,20191223,1
12975506,20191230,1
