service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2773219,0,0,0,0,0,0,0,20191108,20191220
2773209,0,0,0,0,0,0,0,20191103,20191229
2773217,0,0,0,0,0,0,0,20191102,20191228
13039901,0,0,0,0,0,0,0,20191110,20191110
2773216,0,0,0,0,0,0,0,20191104,20191219
2773215,0,0,0,0,0,0,0,20191230,20191230
2773214,0,0,0,0,0,0,0,20191029,20191226
3039901,0,0,0,0,0,0,0,20191109,20191109
2773222,0,0,0,0,0,0,0,20191031,20191227
12773209,0,0,0,0,0,0,0,20191104,20191230
12773219,0,0,0,0,0,0,0,20191109,20191221
2773210,0,0,0,0,0,0,0,20191101,20191110
12773216,0,0,0,0,0,0,0,20191105,20191220
2773221,0,0,0,0,0,0,0,20191231,20191231
12773217,0,0,0,0,0,0,0,20191103,20191229
12773210,0,0,0,0,0,0,0,20191102,20191111
12773221,0,0,0,0,0,0,0,20200101,20200101
12773222,0,0,0,0,0,0,0,20191101,20191228
12773214,0,0,0,0,0,0,0,20191030,20191227
12773215,0,0,0,0,0,0,0,20191231,20191231
