service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2773269,0,0,0,0,0,0,0,20191108,20191220
2773259,0,0,0,0,0,0,0,20191103,20191229
12773269,0,0,0,0,0,0,0,20191109,20191221
12773259,0,0,0,0,0,0,0,20191104,20191230
12773266,0,0,0,0,0,0,0,20191103,20191229
12773265,0,0,0,0,0,0,0,20191030,20191227
12773264,0,0,0,0,0,0,0,20191231,20191231
12773261,0,0,0,0,0,0,0,20191102,20191111
12773262,0,0,0,0,0,0,0,20191105,20191220
2773270,0,0,0,0,0,0,0,20191231,20191231
2773266,0,0,0,0,0,0,0,20191102,20191228
2773271,0,0,0,0,0,0,0,20191031,20191227
2773265,0,0,0,0,0,0,0,20191029,20191226
2773264,0,0,0,0,0,0,0,20191230,20191230
12773271,0,0,0,0,0,0,0,20191101,20191228
12773270,0,0,0,0,0,0,0,20200101,20200101
2773262,0,0,0,0,0,0,0,20191104,20191219
2773261,0,0,0,0,0,0,0,20191101,20191110
