service_id,date,exception_type
3080370,20191102,1
3080370,20191109,1
3080370,20191116,1
3080370,20191123,1
3080370,20191130,1
3080370,20191207,1
3080370,20191214,1
3080370,20191221,1
3080370,20191228,1
3080371,20191108,1
3080371,20191115,1
3080371,20191122,1
3080371,20191129,1
3080371,20191206,1
3080371,20191213,1
3080371,20191220,1
3080372,20191103,1
3080372,20191111,1
3080372,20191117,1
3080372,20191124,1
3080372,20191201,1
3080372,20191208,1
3080372,20191215,1
3080372,20191222,1
3080372,20191225,1
3080372,20191229,1
3080373,20191104,1
3080373,20191105,1
3080373,20191106,1
3080373,20191107,1
3080373,20191112,1
3080373,20191113,1
3080373,20191114,1
3080373,20191118,1
3080373,20191119,1
3080373,20191120,1
3080373,20191121,1
3080373,20191125,1
3080373,20191126,1
3080373,20191127,1
3080373,20191128,1
3080373,20191202,1
3080373,20191203,1
3080373,20191204,1
3080373,20191205,1
3080373,20191209,1
3080373,20191210,1
3080373,20191211,1
3080373,20191212,1
3080373,20191216,1
3080373,20191217,1
3080373,20191218,1
3080373,20191219,1
3080374,20191102,1
3080374,20191109,1
3080374,20191116,1
3080374,20191123,1
3080374,20191130,1
3080374,20191207,1
3080374,20191214,1
3080374,20191221,1
3080374,20191228,1
3080375,20191108,1
3080375,20191115,1
3080375,20191122,1
3080375,20191129,1
3080375,20191206,1
3080375,20191213,1
3080375,20191220,1
13067566,20191101,1
13067566,20191225,1
13067566,20200101,1
13067567,20191228,1
3067563,20191101,1
3067563,20191110,1
13067560,20191101,1
13067560,20191225,1
13067560,20200101,1
3067564,20191029,1
3067564,20191030,1
3067564,20191223,1
3067564,20191226,1
3067564,20191230,1
3067566,20191031,1
3067566,20191224,1
3067566,20191231,1
13067561,20191228,1
3067567,20191227,1
13067564,20191030,1
13067564,20191031,1
13067564,20191224,1
13067564,20191227,1
13067564,20191231,1
13067563,20191102,1
13067563,20191111,1
13080372,20191104,1
13080372,20191112,1
13080372,20191118,1
13080372,20191125,1
13080372,20191202,1
13080372,20191209,1
13080372,20191216,1
13080372,20191223,1
13080372,20191226,1
13080372,20191230,1
13080371,20191109,1
13080371,20191116,1
13080371,20191123,1
13080371,20191130,1
13080371,20191207,1
13080371,20191214,1
13080371,20191221,1
13080370,20191103,1
13080370,20191110,1
13080370,20191117,1
13080370,20191124,1
13080370,20191201,1
13080370,20191208,1
13080370,20191215,1
13080370,20191222,1
13080370,20191229,1
3067561,20191227,1
13080375,20191109,1
13080375,20191116,1
13080375,20191123,1
13080375,20191130,1
13080375,20191207,1
13080375,20191214,1
13080375,20191221,1
3067560,20191031,1
3067560,20191224,1
3067560,20191231,1
13080374,20191103,1
13080374,20191110,1
13080374,20191117,1
13080374,20191124,1
13080374,20191201,1
13080374,20191208,1
13080374,20191215,1
13080374,20191222,1
13080374,20191229,1
13080373,20191105,1
13080373,20191106,1
13080373,20191107,1
13080373,20191108,1
13080373,20191113,1
13080373,20191114,1
13080373,20191115,1
13080373,20191119,1
13080373,20191120,1
13080373,20191121,1
13080373,20191122,1
13080373,20191126,1
13080373,20191127,1
13080373,20191128,1
13080373,20191129,1
13080373,20191203,1
13080373,20191204,1
13080373,20191205,1
13080373,20191206,1
13080373,20191210,1
13080373,20191211,1
13080373,20191212,1
13080373,20191213,1
13080373,20191217,1
13080373,20191218,1
13080373,20191219,1
13080373,20191220,1
3080369,20191104,1
3080369,20191105,1
3080369,20191106,1
3080369,20191107,1
3080369,20191112,1
3080369,20191113,1
3080369,20191114,1
3080369,20191118,1
3080369,20191119,1
3080369,20191120,1
3080369,20191121,1
3080369,20191125,1
3080369,20191126,1
3080369,20191127,1
3080369,20191128,1
3080369,20191202,1
3080369,20191203,1
3080369,20191204,1
3080369,20191205,1
3080369,20191209,1
3080369,20191210,1
3080369,20191211,1
3080369,20191212,1
3080369,20191216,1
3080369,20191217,1
3080369,20191218,1
3080369,20191219,1
3080368,20191103,1
3080368,20191111,1
3080368,20191117,1
3080368,20191124,1
3080368,20191201,1
3080368,20191208,1
3080368,20191215,1
3080368,20191222,1
3080368,20191225,1
3080368,20191229,1
13080368,20191104,1
13080368,20191112,1
13080368,20191118,1
13080368,20191125,1
13080368,20191202,1
13080368,20191209,1
13080368,20191216,1
13080368,20191223,1
13080368,20191226,1
13080368,20191230,1
13080369,20191105,1
13080369,20191106,1
13080369,20191107,1
13080369,20191108,1
13080369,20191113,1
13080369,20191114,1
13080369,20191115,1
13080369,20191119,1
13080369,20191120,1
13080369,20191121,1
13080369,20191122,1
13080369,20191126,1
13080369,20191127,1
13080369,20191128,1
13080369,20191129,1
13080369,20191203,1
13080369,20191204,1
13080369,20191205,1
13080369,20191206,1
13080369,20191210,1
13080369,20191211,1
13080369,20191212,1
13080369,20191213,1
13080369,20191217,1
13080369,20191218,1
13080369,20191219,1
13080369,20191220,1
13067558,20191030,1
13067558,20191031,1
13067558,20191224,1
13067558,20191227,1
13067558,20191231,1
3067558,20191029,1
3067558,20191030,1
3067558,20191223,1
3067558,20191226,1
3067558,20191230,1
13067592,20191102,1
13067592,20191111,1
3067592,20191101,1
3067592,20191110,1
