from_stop_id,to_stop_id,transfer_type,min_transfer_time
5231725,22789,2,270
3730668,22789,2,310
8079730,22794,2,26
8452019,22793,2,136
3764087,22789,2,270
8452019,22794,2,136
2095,22790,2,150
3730668,22790,2,310
5231725,22790,2,270
5122192,22790,2,216
2045,22790,2,150
22794,4677737,2,37
22794,4677736,2,37
3764140,22790,2,232
8452263,22794,2,26
8452263,22793,2,26
8452017,22794,2,26
8452017,22793,2,26
4471786,22793,2,37
4471786,22794,2,37
8452264,22793,2,37
8452264,22794,2,37
8079729,22791,2,18
3764088,22789,2,270
8079729,22792,2,18
3764139,22789,2,216
5231724,22790,2,216
5122193,22790,2,218
8452018,22793,2,37
22794,4284899,2,151
8452018,22794,2,37
3730667,22790,2,322
5231724,22789,2,216
8452265,22793,2,136
8079731,22794,2,26
3764140,22789,2,232
8079731,22793,2,26
8452265,22794,2,136
3764139,22790,2,216
3730667,22789,2,322
22789,8290121,2,250
2045,22789,2,150
5122192,22789,2,216
22793,4677736,2,37
22790,8290122,2,322
22790,8290121,2,250
8079730,22793,2,26
22793,4677737,2,37
2095,22789,2,150
22789,8290122,2,322
3764087,22790,2,270
4471787,22794,2,37
22793,4284899,2,151
4471787,22793,2,37
3764088,22790,2,270
5122193,22789,2,218
