service_id,date,exception_type
2338800,20191122,1
2338800,20191129,1
2338800,20191206,1
2338800,20191213,1
2338800,20191220,1
2338800,20191227,1
87282,20191123,1
87282,20191124,1
87282,20191130,1
87282,20191201,1
87282,20191207,1
87282,20191208,1
87282,20191214,1
87282,20191215,1
87282,20191221,1
87282,20191222,1
87282,20191225,1
87282,20191228,1
87282,20191229,1
87283,20191125,1
87283,20191202,1
87283,20191209,1
87283,20191216,1
87283,20191223,1
87283,20191230,1
2335222,20191127,1
2335222,20191204,1
2335222,20191211,1
2335222,20191218,1
2335223,20191128,1
2335223,20191205,1
2335223,20191212,1
2335223,20191219,1
2335223,20191226,1
2335221,20191126,1
2335221,20191203,1
2335221,20191210,1
2335221,20191217,1
2335221,20191224,1
2335221,20191231,1
